,DATE_TIME,PLANT_ID,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,Date,Time,Relative Humidity (%),Pressure (hPa),Wind speed (m/s),Wind direction,Rainfall (kg/m2)
0,16/5/2020 2:00,4135001,21.68216,20.072144,0,16/5/2020,2:00:00,76.88,996.99,2.58,348.77,0.001216
1,16/5/2020 2:15,4135001,21.6884114,19.9192038,0,16/5/2020,2:15:00,75,997.19,2.5,348.63,0.001022
2,16/5/2020 2:30,4135001,21.51040853,19.59269193,0,16/5/2020,2:30:00,73.16,997.38,2.43,348.48,0.000829
3,16/5/2020 2:45,4135001,21.496287,19.6248698,0,16/5/2020,2:45:00,71.01,997.54,2.35,346.98,0.000682
4,16/5/2020 3:00,4135001,21.6459126,20.06520593,0,16/5/2020,3:00:00,68.57,997.68,2.28,343.99,0.000582
5,16/5/2020 3:15,4135001,21.6743142,20.11216013,0,16/5/2020,3:15:00,66.21,997.81,2.21,340.81,0.000481
6,16/5/2020 3:30,4135001,21.73142093,20.351884,0,16/5/2020,3:30:00,63.93,997.95,2.15,337.44,0.000381
7,16/5/2020 3:45,4135001,21.78016573,20.50589407,0,16/5/2020,3:45:00,61.71,998.03,2.12,333.4,0.000368
8,16/5/2020 4:00,4135001,21.85855536,20.81391043,0,16/5/2020,4:00:00,59.57,998.06,2.12,328.8,0.000443
9,16/5/2020 4:15,4135001,21.89991073,20.71264033,0,16/5/2020,4:15:00,57.49,998.09,2.14,324.23,0.000517
10,16/5/2020 4:30,4135001,21.92704853,20.72603773,0,16/5/2020,4:30:00,55.48,998.13,2.16,319.75,0.000592
11,16/5/2020 4:45,4135001,22.0286844,20.79640287,0,16/5/2020,4:45:00,53.69,998.1,2.23,314.92,0.000552
12,16/5/2020 5:00,4135001,21.93278,20.6822592,0,16/5/2020,5:00:00,52.1,998.01,2.34,309.98,0.000398
13,16/5/2020 5:15,4135001,21.86625167,20.47236933,0,16/5/2020,5:15:00,50.55,997.92,2.47,305.51,0.000244
14,16/5/2020 5:30,4135001,21.87658507,20.76019287,0,16/5/2020,5:30:00,49.05,997.83,2.61,301.51,8.90E-05
15,16/5/2020 5:45,4135001,21.95998927,20.5434348,0.000147169,16/5/2020,5:45:00,47.92,997.69,2.79,297.45,1.10E-05
16,16/5/2020 6:00,4135001,21.9232375,20.25681407,0.006205959,16/5/2020,6:00:00,47.12,997.5,3.03,293.51,1.00E-05
17,16/5/2020 6:15,4135001,21.8604004,20.4303872,0.023633737,16/5/2020,6:15:00,46.34,997.31,3.27,290.15,8.00E-06
18,16/5/2020 6:30,4135001,21.98583367,21.195638,0.049514968,16/5/2020,6:30:00,45.58,997.12,3.53,287.27,6.00E-06
19,16/5/2020 6:45,4135001,22.13967073,22.18941033,0.079269643,16/5/2020,6:45:00,45.17,996.91,3.8,284.96,7.00E-06
20,16/5/2020 7:00,4135001,22.45271393,23.1112346,0.109037968,16/5/2020,7:00:00,45.09,996.68,4.08,283.12,1.00E-05
21,16/5/2020 7:15,4135001,22.6524518,24.24170127,0.138115452,16/5/2020,7:15:00,45.01,996.45,4.37,281.53,1.30E-05
22,16/5/2020 7:30,4135001,22.97513853,25.66848753,0.174117525,16/5/2020,7:30:00,44.94,996.22,4.66,280.13,1.70E-05
23,16/5/2020 7:45,4135001,23.38855407,27.93747607,0.243642806,16/5/2020,7:45:00,45.07,995.99,4.91,279.35,3.10E-05
24,16/5/2020 8:00,4135001,23.8905234,30.79129613,0.298052989,16/5/2020,8:00:00,45.42,995.77,5.13,279.07,5.80E-05
25,16/5/2020 8:15,4135001,24.42785433,33.0092104,0.338650411,16/5/2020,8:15:00,45.76,995.55,5.34,278.82,8.50E-05
26,16/5/2020 8:30,4135001,25.16689847,36.6061888,0.427548953,16/5/2020,8:30:00,46.11,995.33,5.56,278.58,0.000111
27,16/5/2020 8:45,4135001,25.75717567,38.89201073,0.470081485,16/5/2020,8:45:00,46.55,995.15,5.71,278.81,0.000112
28,16/5/2020 9:00,4135001,25.99942227,38.70590013,0.461185769,16/5/2020,9:00:00,47.08,995,5.81,279.47,8.70E-05
29,16/5/2020 9:15,4135001,26.29700733,39.34378447,0.41958991,16/5/2020,9:15:00,47.63,994.84,5.91,280.11,6.20E-05
30,16/5/2020 9:30,4135001,26.59366867,39.87995233,0.420493884,16/5/2020,9:30:00,48.17,994.69,6.01,280.73,3.70E-05
31,16/5/2020 9:45,4135001,27.03096947,41.82566533,0.540593679,16/5/2020,9:45:00,48.76,994.58,6.06,281.57,3.00E-05
32,16/5/2020 10:00,4135001,27.61135453,46.07265193,0.491453022,16/5/2020,10:00:00,49.4,994.51,6.06,282.65,4.10E-05
33,16/5/2020 10:15,4135001,27.93121329,44.468571,0.469728831,16/5/2020,10:15:00,50.05,994.45,6.07,283.73,5.30E-05
34,16/5/2020 10:30,4135001,28.2829874,48.962665,0.654436842,16/5/2020,10:30:00,50.7,994.38,6.08,284.8,6.40E-05
35,16/5/2020 10:45,4135001,28.78232633,50.154118,0.595521375,16/5/2020,10:45:00,51.46,994.35,6.05,285.93,7.50E-05
36,16/5/2020 11:00,4135001,29.1554974,49.15606887,0.575263897,16/5/2020,11:00:00,52.33,994.35,5.99,287.14,8.70E-05
37,16/5/2020 11:15,4135001,29.3643758,48.12385467,0.542374875,16/5/2020,11:15:00,53.22,994.36,5.92,288.38,9.90E-05
38,16/5/2020 11:30,4135001,29.6892496,46.51825533,0.493430553,16/5/2020,11:30:00,54.12,994.37,5.86,289.64,0.000111
39,16/5/2020 11:45,4135001,29.8473918,47.0438902,0.62278731,16/5/2020,11:45:00,55.14,994.42,5.78,290.9,0.000108
40,16/5/2020 12:00,4135001,30.08986207,50.09181933,0.662004302,16/5/2020,12:00:00,56.28,994.52,5.66,292.17,9.00E-05
41,16/5/2020 12:15,4135001,30.37689871,48.67528186,0.540425129,16/5/2020,12:15:00,57.45,994.63,5.55,293.5,7.20E-05
42,16/5/2020 12:30,4135001,30.8864686,50.44957047,0.76711941,16/5/2020,12:30:00,58.64,994.73,5.45,294.88,5.40E-05
43,16/5/2020 12:45,4135001,31.2210448,54.23274553,0.812240641,16/5/2020,12:45:00,59.9,994.85,5.33,296.24,4.20E-05
44,16/5/2020 13:00,4135001,31.31397713,52.8518024,0.636164586,16/5/2020,13:00:00,61.24,994.98,5.19,297.58,3.70E-05
45,16/5/2020 13:15,4135001,31.66299653,52.0534832,0.733243599,16/5/2020,13:15:00,62.6,995.11,5.06,298.99,3.20E-05
46,16/5/2020 13:30,4135001,31.61725667,49.747872,0.583864739,16/5/2020,13:30:00,64,995.24,4.93,300.48,2.70E-05
47,16/5/2020 13:45,4135001,31.3661072,47.2997298,0.502392484,16/5/2020,13:45:00,65.24,995.38,4.82,301.69,2.50E-05
48,16/5/2020 14:00,4135001,31.42362873,46.57489593,0.435684946,16/5/2020,14:00:00,66.31,995.53,4.72,302.59,2.70E-05
49,16/5/2020 14:15,4135001,31.98976833,47.82889013,0.595977137,16/5/2020,14:15:00,67.4,995.68,4.63,303.52,2.80E-05
50,16/5/2020 14:30,4135001,32.24326421,48.35548621,0.534500986,16/5/2020,14:30:00,68.51,995.83,4.53,304.5,2.90E-05
51,16/5/2020 14:45,4135001,32.3501976,46.20359727,0.514964407,16/5/2020,14:45:00,69.41,995.96,4.44,305.08,3.20E-05
